Ticker,Average Daily Return,Beta,Annual Volatility
A,-1.5772931710072163e-06,1.024800274270957,0.29625878039924475
AAPL,0.0005911302435447792,1.2106888786321799,0.2709351599939285
ABBV,0.0006099178370208933,0.2990985128145545,0.21995786590487154
ABNB,7.360613968760487e-05,1.6662563146251141,0.4678751338978284
ABT,-0.00010574540747393346,0.6723172699894053,0.21783917186743987
ACGL,0.0011646495347312185,0.5697889686750048,0.2539970394703867
ACN,1.0632067477338066e-05,1.0942083292110718,0.27033149574373416
ADBE,-2.165843214604344e-05,1.4479742795178576,0.38308278265182505
ADI,0.0005141879284853851,1.339928428630706,0.3180580201638956
ADM,-0.00011053200045322573,0.5511987457314704,0.2940434906459831
ADP,0.0004234821156257144,0.8271977569273401,0.2212125638399172
ADSK,0.00031780454532890246,1.5586651097640762,0.3647118157717394
AEE,0.00021286376113053039,0.42049061108885677,0.20459637624792418
AEP,0.00029180934439148546,0.4252650709113835,0.2100287378249628
AES,-0.0004618973329789337,1.0158963556325824,0.3574454206587091
AFL,0.0009478865206769291,0.6077804007660071,0.2140031815984623
AIG,0.0005501145767159498,0.9056800036263097,0.26846010611423127
AIZ,0.000616448672132595,0.587054330482936,0.25766444333630395
AJG,0.0008396431305282056,0.7067304403024537,0.2133688115729224
AKAM,-0.0001153668427087921,0.7862351632977633,0.2805672887264232
ALB,-0.0007304875088186977,1.5255874309515491,0.5349112705800979
ALGN,-0.0009658993072122067,1.6705279919693208,0.5204274920686686
ALL,0.0008884253605674434,0.5451917445008077,0.2604330642870878
ALLE,0.00021459023450656075,0.9835721335998466,0.2653025526496811
AMAT,0.00042310140890232677,1.7922121063165077,0.4291266826697161
AMCR,-1.0821186171834403e-05,0.7637375360260591,0.23989931171306864
AMD,0.00025448316890890396,2.06474872380768,0.5241874738860685
AME,0.0004210205473979626,0.8291257772053252,0.21642250184926848
AMGN,0.0004146593329250851,0.4271297316377814,0.22844594593283052
AMP,0.0009622252307936939,1.1837649081965385,0.28027878555449
AMT,-0.00031477558666495847,0.7058122213599317,0.2792713161893467
AMZN,0.0006272646500942056,1.606885068407935,0.38332137569924385
ANET,0.0018756940642556095,1.524891122545982,0.4317547917391169
AON,0.0004033229970133848,0.7155118568027732,0.22702846704586668
AOS,-4.659813875234496e-05,0.9244503939780041,0.2786732734188282
